year,province,category,score,rank_start,rank_end,count
2025,Hunan,Physics,448,154944,156272,1329
2025,Hunan,Physics,447,156273,157600,1328
2025,Hunan,Physics,446,157601,158935,1335
2025,Hunan,Physics,445,158936,160297,1362
2025,Hunan,Physics,444,160298,161624,1327
2025,Hunan,Physics,443,161625,162957,1333
2025,Hunan,Physics,442,162958,164312,1355
2025,Hunan,Physics,441,164313,165648,1336
2025,Hunan,Physics,440,165649,166998,1350
2025,Hunan,Physics,439,166999,168325,1327
2025,Hunan,Physics,438,168326,169715,1390
2025,Hunan,Physics,437,169716,171075,1360
2025,Hunan,Physics,436,171076,172420,1345
2025,Hunan,Physics,435,172421,173735,1315
2025,Hunan,Physics,434,173736,175127,1392
2025,Hunan,Physics,433,175128,176429,1302
2025,Hunan,Physics,432,176430,177734,1305
2025,Hunan,Physics,431,177735,179082,1348
2025,Hunan,Physics,430,179083,180359,1277
2025,Hunan,Physics,429,180360,181701,1342
2025,Hunan,Physics,428,181702,182995,1294
2025,Hunan,Physics,427,182996,184303,1308
2025,Hunan,Physics,426,184304,185558,1255
2025,Hunan,Physics,425,185559,186782,1224
2025,Hunan,Physics,424,186783,188046,1264
2025,Hunan,Physics,423,188047,189315,1269
2025,Hunan,Physics,422,189316,190592,1277
2025,Hunan,Physics,421,190593,191837,1245
2025,Hunan,Physics,420,191838,193111,1274
2025,Hunan,Physics,419,193112,194336,1225
2025,Hunan,Physics,418,194337,195586,1250
2025,Hunan,Physics,417,195587,196909,1323
2025,Hunan,Physics,416,196910,198110,1201
2025,Hunan,Physics,415,198171,199408,1238
2025,Hunan,Physics,414,199409,200674,1266
2025,Hunan,Physics,413,200675,201862,1188
2025,Hunan,Physics,412,201863,203076,1214
2025,Hunan,Physics,411,203077,204282,1206
2025,Hunan,Physics,410,204283,205496,1214
2025,Hunan,Physics,409,205497,206673,1177
2025,Hunan,Physics,408,206674,207860,1187
2025,Hunan,Physics,407,207861,209093,1233
2025,Hunan,Physics,406,209094,210303,1210
2025,Hunan,Physics,405,210304,211431,1128
2025,Hunan,Physics,404,211432,212589,1158
2025,Hunan,Physics,403,212590,213711,1122
2025,Hunan,Physics,402,213712,214797,1086
2025,Hunan,Physics,401,214798,216011,1214
2025,Hunan,Physics,400,216012,217140,1129
2025,Hunan,Physics,399,217141,218266,1126
2025,Hunan,Physics,398,218267,219343,1077
2025,Hunan,Physics,397,219344,220505,1162
2025,Hunan,Physics,396,220506,221589,1084
2025,Hunan,Physics,395,221590,222668,1079
2025,Hunan,Physics,394,222669,223775,1107
2025,Hunan,Physics,393,223776,224816,1041
2025,Hunan,Physics,392,224817,225897,1081
2025,Hunan,Physics,391,225898,226967,1070
2025,Hunan,Physics,390,226968,227983,1016
2025,Hunan,Physics,389,227984,229013,1030
2025,Hunan,Physics,388,229014,230066,1053
2025,Hunan,Physics,387,230067,231088,1022
2025,Hunan,Physics,386,231089,232079,991
2025,Hunan,Physics,385,232080,233152,1073
2025,Hunan,Physics,384,233126,234145,1020
2025,Hunan,Physics,383,234146,235164,1019
2025,Hunan,Physics,382,235165,236140,976
2025,Hunan,Physics,381,236141,237162,1022
2025,Hunan,Physics,380,237163,238203,1041
2025,Hunan,Physics,379,238204,239212,1009
2025,Hunan,Physics,378,239213,240138,926
2025,Hunan,Physics,377,240139,241133,995
2025,Hunan,Physics,376,241134,242058,925
2025,Hunan,Physics,375,242059,242968,910
2025,Hunan,Physics,374,242969,243857,889
2025,Hunan,Physics,373,243858,244751,894
2025,Hunan,Physics,372,244752,245672,921
2025,Hunan,Physics,371,245673,246544,872
2025,Hunan,Physics,370,246545,247422,878
2025,Hunan,Physics,369,247423,248282,860
2025,Hunan,Physics,368,248283,249163,881
2025,Hunan,Physics,367,249153,250044,892
2025,Hunan,Physics,366,250069,250936,868
2025,Hunan,Physics,365,251805,252680,876
2025,Hunan,Physics,364,252681,253552,872
2025,Hunan,Physics,363,253553,254465,913
2025,Hunan,Physics,362,254466,255306,841
2025,Hunan,Physics,361,255307,256161,855
2025,Hunan,Physics,360,256162,257003,842
2025,Hunan,Physics,359,257004,257840,837
2025,Hunan,Physics,358,257841,258644,804
2025,Hunan,Physics,357,258676,259480,805
2025,Hunan,Physics,356,259481,260311,831
2025,Hunan,Physics,355,260312,261039,728
2025,Hunan,Physics,354,261040,261822,783
2025,Hunan,Physics,353,261823,262585,763
2025,Hunan,Physics,352,262586,263362,777
2025,Hunan,Physics,351,263363,264129,767
2025,Hunan,Physics,350,264130,264860,731
2025,Hunan,Physics,349,264861,265615,755
2025,Hunan,Physics,347,265616,266376,761
2025,Hunan,Physics,346,266377,267124,748
2025,Hunan,Physics,345,267125,267846,722
2025,Hunan,Physics,344,267847,268568,722
2025,Hunan,Physics,343,268569,269215,647
2025,Hunan,Physics,342,269216,269943,728
2025,Hunan,Physics,341,269944,270598,655
2025,Hunan,Physics,340,270599,271299,701
2025,Hunan,Physics,339,271300,271985,686
2025,Hunan,Physics,338,271986,272651,666
2025,Hunan,Physics,337,272652,273290,639
2025,Hunan,Physics,336,273291,273980,690
2025,Hunan,Physics,335,273981,274651,671
2025,Hunan,Physics,334,274652,275283,632
2025,Hunan,Physics,333,275284,275904,621
2025,Hunan,Physics,332,275905,276562,658
2025,Hunan,Physics,331,276563,277162,600
2025,Hunan,Physics,330,277163,277761,599
2025,Hunan,Physics,329,277762,278347,586
2025,Hunan,Physics,328,278348,278914,567
2025,Hunan,Physics,327,278915,279481,567
2025,Hunan,Physics,326,279482,280086,605
2025,Hunan,Physics,325,280087,280639,553
2025,Hunan,Physics,324,280640,281225,586
2025,Hunan,Physics,323,281226,281770,545
2025,Hunan,Physics,322,281771,282339,569
2025,Hunan,Physics,321,282340,282928,589
2025,Hunan,Physics,320,282929,283517,589
2025,Hunan,Physics,319,283518,284063,546
2025,Hunan,Physics,318,284064,284622,559
2025,Hunan,Physics,317,284623,285146,524
2025,Hunan,Physics,316,285147,285678,532
2025,Hunan,Physics,315,285679,286210,532
2025,Hunan,Physics,314,286211,286752,542
2025,Hunan,Physics,313,286753,287265,513
2025,Hunan,Physics,312,287266,287755,490
2025,Hunan,Physics,311,287756,288256,501
2025,Hunan,Physics,310,288257,288737,481
2025,Hunan,Physics,309,288738,289235,498
2025,Hunan,Physics,308,289236,289737,502
2025,Hunan,Physics,307,289738,290199,462
2025,Hunan,Physics,306,290200,290696,497
2025,Hunan,Physics,305,290697,291164,468
2025,Hunan,Physics,304,291165,291633,469
2025,Hunan,Physics,303,291634,292102,469
2025,Hunan,Physics,302,292126,292630,505
2025,Hunan,Physics,301,292631,293106,476
2025,Hunan,Physics,300,293107,293562,456
2025,Hunan,Physics,299,293563,294005,443
2025,Hunan,Physics,298,294006,294451,446
2025,Hunan,Physics,297,294452,294881,430
2025,Hunan,Physics,296,294882,295355,474
2025,Hunan,Physics,295,295356,295820,465
2025,Hunan,Physics,294,295821,296242,422
2025,Hunan,Physics,293,296243,296646,404
2025,Hunan,Physics,292,296647,297056,410
2025,Hunan,Physics,291,297057,297459,403
2025,Hunan,Physics,290,297460,297885,426
2025,Hunan,Physics,289,297886,298264,379
2025,Hunan,Physics,288,298265,298680,416
2025,Hunan,Physics,287,298681,299102,422
2025,Hunan,Physics,286,299103,299482,380
2025,Hunan,Physics,285,299483,299854,372
2025,Hunan,Physics,284,299855,300271,417
2025,Hunan,Physics,283,300272,300647,376
2025,Hunan,Physics,282,300648,301052,405
2025,Hunan,Physics,281,301053,301390,338
2025,Hunan,Physics,280,301391,301775,385
2025,Hunan,Physics,279,301776,302124,349
2025,Hunan,Physics,278,302125,302495,371
2025,Hunan,Physics,277,302496,302871,376
2025,Hunan,Physics,276,302872,303214,343
2025,Hunan,Physics,275,303215,303532,318
2025,Hunan,Physics,274,303533,303882,350
2025,Hunan,Physics,273,303883,304226,344
2025,Hunan,Physics,272,304227,304560,334
2025,Hunan,Physics,271,304561,304878,318
2025,Hunan,Physics,270,304879,305184,306
2025,Hunan,Physics,269,305185,305459,275
2025,Hunan,Physics,268,305460,305765,306
2025,Hunan,Physics,267,305766,306094,329
2025,Hunan,Physics,266,306095,306381,287
2025,Hunan,Physics,265,306382,306667,286
2025,Hunan,Physics,264,306668,306965,298
2025,Hunan,Physics,263,306966,307258,293
2025,Hunan,Physics,262,307259,307540,282
2025,Hunan,Physics,261,307541,307836,296
2025,Hunan,Physics,260,307837,308105,269
2025,Hunan,Physics,259,308106,308360,255
2025,Hunan,Physics,258,308361,308642,282
2025,Hunan,Physics,257,308643,308909,267
2025,Hunan,Physics,256,308910,309164,255
2025,Hunan,Physics,255,309165,309424,260
2025,Hunan,Physics,254,309425,309651,227
2025,Hunan,Physics,253,309652,309891,240
2025,Hunan,Physics,252,309892,310129,238
2025,Hunan,Physics,251,310130,310392,263
2025,Hunan,Physics,250,310393,310618,226
2025,Hunan,Physics,249,310619,310835,217
2025,Hunan,Physics,248,310836,311055,220
2025,Hunan,Physics,247,311056,311267,212
2025,Hunan,Physics,246,311268,311481,214
2025,Hunan,Physics,245,311482,311694,213
2025,Hunan,Physics,244,311695,311920,226
2025,Hunan,Physics,243,311921,312156,236
2025,Hunan,Physics,242,312157,312366,210
2025,Hunan,Physics,241,312367,312546,180
2025,Hunan,Physics,240,312547,312736,190
2025,Hunan,Physics,239,312737,312918,182
2025,Hunan,Physics,238,312919,313106,188
2025,Hunan,Physics,237,313107,313285,179
2025,Hunan,Physics,236,313286,313448,163
2025,Hunan,Physics,235,313449,313605,157
2025,Hunan,Physics,234,313606,313784,179
2025,Hunan,Physics,233,313785,313936,152
2025,Hunan,Physics,232,313937,314091,155
2025,Hunan,Physics,231,314092,314250,159
2025,Hunan,Physics,230,314251,314396,146
2025,Hunan,Physics,229,314397,314554,158
2025,Hunan,Physics,228,314555,314698,144
2025,Hunan,Physics,227,314699,314844,146
2025,Hunan,Physics,226,314845,314996,152
2025,Hunan,Physics,225,314997,315128,132
2025,Hunan,Physics,224,315129,315280,152
2025,Hunan,Physics,223,315281,315402,122
2025,Hunan,Physics,222,315403,315517,115
2025,Hunan,Physics,221,315518,315651,134
2025,Hunan,Physics,220,315652,315787,136
2025,Hunan,Physics,219,315788,315893,106
2025,Hunan,Physics,218,315894,315998,105
2025,Hunan,Physics,217,315999,316124,126
2025,Hunan,Physics,216,316125,316214,90
2025,Hunan,Physics,215,316215,316299,85
2025,Hunan,Physics,214,316300,316396,97
2025,Hunan,Physics,213,316397,316489,93
2025,Hunan,Physics,212,316490,316581,92
2025,Hunan,Physics,211,316582,316662,81
2025,Hunan,Physics,210,316663,316739,77
2025,Hunan,Physics,209,316740,316832,93
2025,Hunan,Physics,208,316833,316914,82
2025,Hunan,Physics,207,316915,316990,76
2025,Hunan,Physics,206,316991,317070,80
2025,Hunan,Physics,205,317071,317136,66
2025,Hunan,Physics,204,317137,317185,49
2025,Hunan,Physics,203,317186,317249,64
2025,Hunan,Physics,202,317250,317317,68
2025,Hunan,Physics,201,317318,317387,70
2025,Hunan,Physics,200,317388,317438,51
2025,Hunan,Physics,199,317439,317486,48
2025,Hunan,Physics,198,317487,317527,41
2025,Hunan,Physics,197,317528,317580,53
2025,Hunan,Physics,196,317581,317634,54
2025,Hunan,Physics,195,317635,317688,54
2025,Hunan,Physics,194,317689,317725,37
2025,Hunan,Physics,193,317726,317776,51
2025,Hunan,Physics,192,317777,317825,49
2025,Hunan,Physics,191,317826,317860,35
2025,Hunan,Physics,190,317861,317896,36
2025,Hunan,Physics,189,317897,317939,43
2025,Hunan,Physics,188,317940,317971,32
2025,Hunan,Physics,187,317972,318019,48
2025,Hunan,Physics,186,318020,318056,37
2025,Hunan,Physics,185,318057,318088,32
2025,Hunan,Physics,184,318089,318119,31
2025,Hunan,Physics,183,318120,318136,17
2025,Hunan,Physics,182,318137,318166,30
2025,Hunan,Physics,181,318167,318192,26
2025,Hunan,Physics,180,318193,318214,22
2025,Hunan,Physics,179,318215,318242,28
2025,Hunan,Physics,178,318243,318269,27
2025,Hunan,Physics,177,318270,318299,30
2025,Hunan,Physics,176,318300,318319,20
2025,Hunan,Physics,175,318320,318338,19
2025,Hunan,Physics,174,318339,318366,28
2025,Hunan,Physics,173,318367,318385,19
2025,Hunan,Physics,172,318386,318400,15
2025,Hunan,Physics,171,318401,318424,24
2025,Hunan,Physics,170,318425,318440,16
2025,Hunan,Physics,169,318441,318453,13
2025,Hunan,Physics,168,318454,318474,21
2025,Hunan,Physics,167,318475,318490,16
2025,Hunan,Physics,166,318491,318510,20
2025,Hunan,Physics,165,318511,318527,17
2025,Hunan,Physics,164,318528,318537,10
2025,Hunan,Physics,163,318538,318548,11
2025,Hunan,Physics,162,318549,318559,11
2025,Hunan,Physics,161,318560,318572,13
2025,Hunan,Physics,160,318573,318579,7
2025,Hunan,Physics,159,318580,318585,6
2025,Hunan,Physics,158,318586,318592,7
2025,Hunan,Physics,157,318593,318602,10
2025,Hunan,Physics,156,318603,318618,16
2025,Hunan,Physics,155,318619,318623,5
2025,Hunan,Physics,154,318624,318633,10
2025,Hunan,Physics,153,318634,318645,12
2025,Hunan,Physics,152,318646,318650,5
2025,Hunan,Physics,151,318651,318661,11
2025,Hunan,Physics,150,318662,318671,10
2025,Hunan,Physics,149,318672,318679,8
2025,Hunan,Physics,148,318680,318686,7
2025,Hunan,Physics,147,318687,318691,5
2025,Hunan,Physics,146,318692,318696,5
2025,Hunan,Physics,145,318697,318699,3
2025,Hunan,Physics,144,318700,318707,8
2025,Hunan,Physics,143,318708,318709,2
2025,Hunan,Physics,142,318710,318713,4
2025,Hunan,Physics,141,318714,318719,6
2025,Hunan,Physics,140,318720,318721,2
2025,Hunan,Physics,139,318725,318728,4
2025,Hunan,Physics,138,318725,318728,4
2025,Hunan,Physics,137,318729,318730,2
2025,Hunan,Physics,136,318731,318735,5
2025,Hunan,Physics,135,318736,318737,2
2025,Hunan,Physics,134,318738,318738,1
2025,Hunan,Physics,133,318739,318744,6
2025,Hunan,Physics,132,318745,318746,2
2025,Hunan,Physics,131,318747,318751,5
