year,province,category,score,rank_start,rank_end,count
2026,Hunan,History,237,135140,135238,99
2026,Hunan,History,236,135239,135336,98
2026,Hunan,History,235,135337,135423,87
2026,Hunan,History,234,135424,135514,91
2026,Hunan,History,233,135515,135597,83
2026,Hunan,History,232,135598,135682,85
2026,Hunan,History,231,135683,135754,72
2026,Hunan,History,230,135755,135839,85
2026,Hunan,History,229,135840,135926,87
2026,Hunan,History,228,135927,136005,79
2026,Hunan,History,227,136006,136076,71
2026,Hunan,History,226,136077,136155,79
2026,Hunan,History,225,136156,136232,77
2026,Hunan,History,224,136233,136294,62
2026,Hunan,History,223,136295,136367,73
2026,Hunan,History,222,136368,136432,65
2026,Hunan,History,221,136433,136486,54
2026,Hunan,History,220,136487,136535,49
2026,Hunan,History,219,136536,136592,57
2026,Hunan,History,218,136593,136656,64
2026,Hunan,History,217,136657,136713,57
2026,Hunan,History,216,136714,136756,43
2026,Hunan,History,215,136757,136799,43
2026,Hunan,History,214,136800,136838,39
2026,Hunan,History,213,136839,136886,48
2026,Hunan,History,212,136887,136939,53
2026,Hunan,History,211,136940,136983,44
2026,Hunan,History,210,136984,137025,42
2026,Hunan,History,209,137026,137070,45
2026,Hunan,History,208,137071,137105,35
2026,Hunan,History,207,137106,137146,41
2026,Hunan,History,206,137147,137180,34
2026,Hunan,History,205,137181,137210,30
2026,Hunan,History,204,137211,137226,16
2026,Hunan,History,203,137227,137256,30
2026,Hunan,History,202,137257,137281,25
2026,Hunan,History,201,137282,137313,32
2026,Hunan,History,200,137314,137346,33
2026,Hunan,History,199,137347,137373,27
2026,Hunan,History,198,137374,137401,28
2026,Hunan,History,197,137402,137424,23
2026,Hunan,History,196,137425,137450,26
2026,Hunan,History,195,137451,137473,23
2026,Hunan,History,194,137474,137491,18
2026,Hunan,History,193,137492,137514,23
2026,Hunan,History,192,137515,137536,22
2026,Hunan,History,191,137537,137551,15
2026,Hunan,History,190,137552,137570,19
2026,Hunan,History,189,137571,137579,9
2026,Hunan,History,188,137580,137589,10
2026,Hunan,History,187,137590,137599,10
2026,Hunan,History,186,137600,137611,12
2026,Hunan,History,185,137612,137618,7
2026,Hunan,History,184,137619,137628,10
2026,Hunan,History,183,137629,137634,6
2026,Hunan,History,182,137635,137647,13
2026,Hunan,History,181,137648,137660,13
2026,Hunan,History,180,137661,137669,9
2026,Hunan,History,179,137670,137681,12
2026,Hunan,History,178,137682,137688,7
2026,Hunan,History,177,137689,137696,8
2026,Hunan,History,176,137697,137710,14
2026,Hunan,History,175,137711,137719,9
2026,Hunan,History,174,137720,137729,10
2026,Hunan,History,173,137730,137742,13
2026,Hunan,History,172,137743,137757,15
2026,Hunan,History,171,137758,137766,9
2026,Hunan,History,170,137767,137774,8
2026,Hunan,History,169,137775,137780,6
2026,Hunan,History,168,137781,137782,2
2026,Hunan,History,167,137783,137788,6
2026,Hunan,History,166,137789,137792,4
2026,Hunan,History,165,137793,137798,6
2026,Hunan,History,164,137799,137803,5
2026,Hunan,History,163,137804,137808,5
2026,Hunan,History,162,137809,137814,6
2026,Hunan,History,161,137815,137819,5
2026,Hunan,History,160,137820,137826,7
2026,Hunan,History,159,137827,137832,6
2026,Hunan,History,158,137833,137833,1
2026,Hunan,History,157,137834,137837,4
2026,Hunan,History,156,137838,137844,7
2026,Hunan,History,155,137845,137850,6
2026,Hunan,History,154,137851,137853,3
2026,Hunan,History,153,137854,137860,7
2026,Hunan,History,152,137861,137862,2
2026,Hunan,History,151,137863,137868,6
2026,Hunan,History,150,137869,137873,5
2026,Hunan,History,149,137874,137878,5
2026,Hunan,History,148,137879,137882,4
2026,Hunan,History,147,137883,137887,5
2026,Hunan,History,146,137888,137889,2
2026,Hunan,History,145,137890,137891,2
2026,Hunan,History,144,137892,137896,5
2026,Hunan,History,143,137897,137899,3
2026,Hunan,History,142,137900,137907,8
2026,Hunan,History,141,137908,137911,4
2026,Hunan,History,140,137912,137914,3
2026,Hunan,History,139,137915,137918,4
2026,Hunan,History,138,137919,137923,5
2026,Hunan,History,137,137924,137926,3
2026,Hunan,History,136,137927,137931,5
2026,Hunan,History,135,137932,137934,3
2026,Hunan,History,134,137935,137938,4
2026,Hunan,History,132,137939,137939,1
2026,Hunan,History,131,137940,137943,4
